Time      ,Source          ,Destination     ,Protocol ,Length ,Gap
60.36231  ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.2637140000000002
61.197796 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.835485999999996
61.20142  ,10.50.2.42      ,104.17.24.14    ,TCP      ,    66 ,0.00362400000000207
60.375576 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.0
60.38473  ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.009153999999995222
61.072631 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.6879010000000036
61.136119 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.06348799999999954
61.139436 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.003317000000002679
61.140253 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.0008169999999978472
61.145669 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.005415999999996757
61.145737 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,6.799999999884676e-05
61.145923 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.00018600000000645878
61.148797 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.002873999999998489
61.150911 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.002113999999998839
61.157641 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.00672999999999746
61.176492 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.018851000000005058
61.181073 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.004580999999994617
61.191522 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    74 ,0.010449000000001263
60.395988 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.0
61.048108 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.6521199999999965
61.072559 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.024450999999999112
61.082219 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.009660000000003777
61.082274 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,5.499999999614147e-05
61.117978 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.03570400000000262
61.118057 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,7.899999999949614e-05
61.118419 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.000362000000002638
61.118471 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,5.199999999661031e-05
61.118937 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.00046600000000296404
61.1328   ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.013863000000000625
61.132855 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,5.499999999614147e-05
61.165053 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.03219800000000106
61.170138 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.005085000000001116
61.170187 ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,4.899999999707916e-05
61.17205  ,10.50.2.42      ,104.17.24.14    ,TCP      ,    82 ,0.00186300000000017
